ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,Spend,Duration of Ad,Impressions
6f2c6d699137814d3a41100d008cc3226db3dd23066eeaefc261c6119b4aa1e0,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,101072,34405808,16-Dec-2020,16-Feb-2021,101072,62,34405808
5ab56efb0c94ada657e1b76a4f0d3bb3b05430bf88445417d2ee26390ffd1625,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,93815,29829165,16-Dec-2020,16-Feb-2021,93815,62,29829165
3dd5feec2385aa4af28c1aa4f9cf015a044fa16d1a5019b268f30bf22937553a,https://www.snap.com/political-ads/asset/fdbc92f01c5ea293eb445b7aa771399ce03e7d8eda66b501ca0696e8006bd654?mediaType=mp4,AUD,55063,12080220,28-Jan-2021,27-Mar-2021,55063,58,12080220
282a2ad45642acb2f6e82e53e70b040c702a707ab7322655a4221c09fd423384,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,18807,6167839,17-Feb-2021,31-Mar-2021,18807,42,6167839
aa416bfe8f6805ad35db4ac0fa5640738137fe9bd942782bfa2dfaa35f6ad218,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,18320,6398482,17-Feb-2021,1-Apr-2021,18320,43,6398482
50d41ab88e4f26de96eebac233232d78a2522ca35800440209a010a4a6410e9e,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,16307,4481201,12-Feb-2021,2-Mar-2021,16307,18,4481201
2bdd37a78cebf96348898cd1618823458205f4c3e5bc3e5b2b20b194e49137d1,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,16201,1438776,12-Feb-2021,2-Mar-2021,16201,18,1438776
020729090d636aac45381a4433a638b6631ea535d924eb516f7a84dd0544162a,https://www.snap.com/political-ads/asset/590f0a1ff9c6d776c6c5e03166bae3fb57bdba6a5cf2529e22724ca1d683f7b8?mediaType=mp4,USD,16053,1552409,17-Feb-2021,12-Mar-2021,16053,23,1552409
45fee428bf1d489c99dcbcc27b186d674082c6cf8cbf53976ac7540e9e4d86de,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,15262,4414182,12-Feb-2021,2-Mar-2021,15262,18,4414182
c1e740aeee1c1abfc89dbe5fc1262f0cb5270802b1d825edfecc947330f9e657,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,13457,5606851,12-Feb-2021,2-Mar-2021,13457,18,5606851
